subject,timestamp,marker,pupil_left,validity_left,pupil_right,validity_right,trial,time,event,pupil_left_old,pupil_right_old
42,1464956758827873,41,3.22549,0,3.28954,0,14,-264.4829999999997,fixation,3.22549,3.28954
42,1464956758844497,41,3.25302,0,3.2775,0,14,-247.85899999999992,fixation,3.25302,3.2775
42,1464956758861245,41,3.23874,0,3.28467,0,14,-231.11100000000033,fixation,3.23874,3.28467
42,1464956758877870,41,3.25302,0,3.25688,0,14,-214.48600000000033,fixation,3.25302,3.25688
42,1464956758894494,41,3.26413,0,3.29079,0,14,-197.86200000000053,fixation,3.26413,3.29079
42,1464956758911118,41,3.25043,0,3.28012,0,14,-181.23799999999983,fixation,3.25043,3.28012
42,1464956758927866,41,3.2341,0,3.25111,0,14,-164.49000000000024,fixation,3.2341,3.25111
42,1464956758944491,41,3.26692,0,3.2579,0,14,-147.86500000000024,fixation,3.26692,3.2579
42,1464956758961116,41,3.26968,0,3.26457,0,14,-131.24000000000024,fixation,3.26968,3.26457
42,1464956758977739,41,3.26111,0,3.23019,0,14,-114.61699999999973,fixation,3.26111,3.23019
42,1464956758994361,41,3.24464,0,3.22348,0,14,-97.99500000000035,fixation,3.24464,3.22348
42,1464956759011110,41,3.24666,0,3.22926,0,14,-81.24600000000055,fixation,3.24666,3.22926
42,1464956759027734,41,3.23865,0,3.25011,0,14,-64.62199999999984,fixation,3.23865,3.25011
42,1464956759044358,41,3.23981,0,3.23079,0,14,-47.99800000000005,fixation,3.23981,3.23079
42,1464956759060983,41,3.23759,0,3.21158,0,14,-31.373000000000047,fixation,3.23759,3.21158
42,1464956759077732,41,3.24814,0,3.21843,0,14,-14.624000000000251,fixation,3.24814,3.21843
42,1464956759094356,41,3.23166,0,3.2397,0,14,1.9999999999995453,answer,3.23166,3.2397
42,1464956759110990,41,3.2283,0,3.21246,0,14,18.63399999999956,answer,3.2283,3.21246
42,1464956759127603,41,3.23892,0,3.2291,0,14,35.246999999999844,answer,3.23892,3.2291
42,1464956759144351,41,3.24318,0,3.23788,0,14,51.994999999999436,answer,3.24318,3.23788
42,1464956759160985,41,3.22748,0,3.20734,0,14,68.62899999999945,answer,3.22748,3.20734
42,1464956759177598,41,3.23068,0,3.22403,0,14,85.24199999999973,answer,3.23068,3.22403
42,1464956759194223,41,3.23923,0,3.20084,0,14,101.86699999999973,answer,3.23923,3.20084
42,1464956759210846,41,3.22699,0,3.254,0,14,118.49000000000024,answer,3.22699,3.254
42,1464956759227596,41,3.24843,0,3.23959,0,14,135.24000000000024,answer,3.24843,3.23959
42,1464956759244220,41,3.25615,0,3.25352,0,14,151.86400000000003,answer,3.25615,3.25352
42,1464956759260844,41,3.26204,0,3.23114,0,14,168.48799999999983,answer,3.26204,3.23114
42,1464956759277468,41,3.22942,0,3.22346,0,14,185.11199999999963,answer,3.22942,3.22346
42,1464956759294218,41,3.25603,0,3.21756,0,14,201.86199999999963,answer,3.25603,3.21756
42,1464956759310841,41,3.24818,0,3.23463,0,14,218.48500000000013,answer,3.24818,3.23463
42,1464956759327465,41,3.23962,0,3.19962,0,14,235.10899999999992,answer,3.23962,3.19962
42,1464956759344095,41,3.25844,0,3.20815,0,14,251.73900000000003,answer,3.25844,3.20815
42,1464956759360711,41,3.22452,0,3.21666,0,14,268.355,answer,3.22452,3.21666
42,1464956759377460,41,3.22984,0,3.2067,0,14,285.1039999999998,answer,3.22984,3.2067
42,1464956759394084,41,3.24615,0,3.2027,0,14,301.7279999999996,answer,3.24615,3.2027
42,1464956759410708,41,3.25352,0,3.22012,0,14,318.3519999999994,answer,3.25352,3.22012
42,1464956759427332,41,3.23123,0,3.21477,0,14,334.9760000000001,answer,3.23123,3.21477
42,1464956759444081,41,3.22638,0,3.20988,0,14,351.7249999999999,answer,3.22638,3.20988
42,1464956759460706,41,3.21568,0,3.20119,0,14,368.3499999999999,answer,3.21568,3.20119
42,1464956759477329,41,3.22058,0,3.18686,0,14,384.9729999999995,answer,3.22058,3.18686
42,1464956759493954,41,3.20378,0,3.21027,0,14,401.5979999999995,answer,3.20378,3.21027
42,1464956759510577,41,3.22385,0,3.19057,0,14,418.221,answer,3.22385,3.19057
42,1464956759527327,41,3.22729,0,3.22842,0,14,434.971,answer,3.22729,3.22842
42,1464956759543948,41,3.21429,0,3.21782,0,14,451.5920000000001,answer,3.21429,3.21782
42,1464956759560573,41,3.23749,0,3.23138,0,14,468.2170000000001,answer,3.23749,3.23138
42,1464956759577196,41,3.23131,0,3.23999,0,14,484.8399999999997,answer,3.23131,3.23999
42,1464956759593946,41,3.22256,0,3.24026,0,14,501.5899999999997,answer,3.22256,3.24026
42,1464956759610570,41,3.21779,0,3.25415,0,14,518.2139999999995,answer,3.21779,3.25415
42,1464956759627194,41,3.22702,0,3.24257,0,14,534.8380000000002,answer,3.22702,3.24257
42,1464956759643817,41,3.23256,0,3.21075,0,14,551.4609999999998,answer,3.23256,3.21075
42,1464956759660443,41,3.22002,0,3.23047,0,14,568.087,answer,3.22002,3.23047
42,1464956759677197,41,3.20781,0,3.2319,0,14,584.8409999999999,answer,3.20781,3.2319
42,1464956759693815,41,3.21928,0,3.20396,0,14,601.4590000000003,answer,3.21928,3.20396
42,1464956759710439,41,3.19258,0,3.23907,0,14,618.0830000000001,answer,3.19258,3.23907
42,1464956759926923,41,3.2083,0,3.18005,0,14,834.5669999999996,answer,3.2083,3.18005
42,1464956759943546,41,3.16028,0,3.19939,0,14,851.19,answer,3.16028,3.19939
42,1464956759960171,41,3.11862,0,3.19592,0,14,867.815,answer,3.11862,3.19592
42,1464956759976919,41,NA,4,3.21716,0,14,884.5629999999996,answer,NA,3.21716
42,1464956759993544,41,3.15706,0,3.2075,0,14,901.1879999999996,answer,3.15706,3.2075
42,1464956760010173,41,3.15892,0,3.17726,0,14,917.8169999999996,answer,3.15892,3.17726
42,1464956760026792,41,3.16469,0,3.22853,0,14,934.4360000000001,answer,3.16469,3.22853
42,1464956760043541,41,3.15317,0,3.23404,0,14,951.185,answer,3.15317,3.23404
42,1464956760060165,41,3.19212,0,3.20747,0,14,967.8089999999997,answer,3.19212,3.20747
